Site,Layer,Easting,Northing ,Mass,Thickness,Thickness,,Density- Ash,,Isomass
,,(m),(m),(g),(cm),(m),,(kg/m3),,(kg/m2)
,,,,,,,,,,
69,69M,524591,1377489,1929,7,0.07,,1534.61,,107.42
70,70M,525564,1377877,1794,23,0.23,,1427.21,,328.26
71,71M,526899,1379123,1442,28,0.28,,1147.18,,321.21
72A,72A,524505,1380950,1201,18,0.18,,955.45,,171.98
72B,72B,,,1682,8,0.08,,1338.11,,107.05
73,73M,522646,1380659,1577,23,0.23,,1254.57,,288.55
74A,74A,526416,1382894,1479,10,0.1,,1176.61,,117.66
74B,74B,,,1695,25,0.25,,1348.45,,337.11
75,75M,527536,1383362,1812,39,0.39,,1441.53,,562.20
76,76M,527796,1382127,1439,73,0.73,,1144.79,,835.70
77,77M,527021,1381806,1417,48,0.48,,1127.29,,541.10
,Fine,,,1437,,0,,1143.20,,0.00
78,78M,528675,1382740,1550,34,0.34,,1233.09,,419.25
79,79M,528763,1384430,1629,9,0.09,,1295.94,,116.63
80,80M,526617,1379772,1494,54,0.54,,1188.54,,641.81
,,,,,,,,,,
,,,,,,Aver. Den =,,1168.37,,
,,,,,,standard dev=,,133.27,,
