 1	 526774	 1381087	531.74  
 2	 526028	 1380972	286.00  
 3	 525477	 1380291	498.23  
 4	 524516	 1379866	248.27  
 5	 523595	 1379462	245.58  
 6	 522674	 1379481	235.00  
 7	 521642	 1379304	171.60  
 8	 520715	 1378964	120.24  
 9	 519877	 1378201	62.85   
 10	 520742	 1379432	160.82  
 11	 520990	 1380130	155.96  
 12	 520892	 1381127	167.18  
 13	 521902	 1382109	71.26   
 14	 522118	 1379921	157.04  
 15	 523973	 1380489	264.24  
 16	 525162	 1380976	255.77  
 17	 525544	 1381476	252.60  
 18	 525760	 1382320	152.96  
 19	 524400	 1382378	275.93  
 20	 523387	 1382182	193.02  
 21	 522453	 1381550	147.72  
 22	 521894	 1380712	170.75  
 23	 529889	 1379931	246.92  
 24	 529139	 1380417	831.91  
 25	 528622	 1380874	1432.94 
 26	 527524	 1380945	737.68  
 27	 526823	 1381601	387.35  
 28	 526524	 1381709	329.57  
 29	 524433	 1381454	239.61  
 30	 523722	 1381349	276.09  
 31	 528142	 1381657	692.82  
 32	 529178	 1382180	724.81  
 33	 529811	 1382324	819.67  
 34	 530232	 1382772	373.50  
 35	 530418	 1383102	753.29  
 36	 531371	 1382795	850.88  
 37	 529666	 1383245	418.74  
 38	 528975	 1383175	383.48  
 39	 522302	 1377932	142.72  
 40	 528159	 1380191	919.83  
 41	 527137	 1380167	679.33  
 42	 526109	 1380543	550.10  
 43	 525983	 1379744	572.99  
 44	 524920	 1379122	256.05  
 45	 523983	 1378749	246.08  
 46	 523174	 1379228	250.31  
 47	 522536	 1378550	367.06  
 48	 521505	 1378499	274.43  
 49	 521747	 1377510	250.43  
 50	 522806	 1377761	146.92  
 51	 523894	 1377922	238.07  
 52	 524826	 1378577	284.53  
 53	 525759	 1378887	225.22  
 54	 526664	 1378620	328.88  
 55	 527927	 1379208	434.37  
 56	 528574	 1379238	215.71  
 57	 530429	 1379430	343.03  
 59	 531058	 1380228	97.82   
 60	 530597	 1380732	588.65  
 61	 531878	 1381004	282.42  
 62	 531201	 1381246	307.30  
 63	 530293	 1381534	1872.39 
 64	 529451	 1381172	1498.81 
 65	 530518	 1380992	620.23  
 66	 521537	 1376665	89.40   
 67	 522559	 1376999	12.45   
 68	 523856	 1377173	38.16   
 69	 524591	 1377489	107.42  
 70	 525564	 1377877	328.26  
 71	 526899	 1379123	321.21  
 72	 524505	 1380950	298.16  
 73	 522646	 1380659	288.55  
 74	 526416	 1382894	441.89  
 75	 527536	 1383362	562.20  
 76	 527796	 1382127	835.70  
 77	 527021	 1381806	541.10  
 78	 528675	 1382740	419.25  
 79	 528763	 1384430	116.63  
 80 526617	 1379772    641.81  
